repeat_count	rule	file	line	all_files
2	DOMAIN-SUFFIX,me.com	rule/apple/iCloud.list	41	rule/apple/Apple.list | rule/apple/iCloud.list
2	DOMAIN-SUFFIX,msads.net	rule/adblock/AdBlock.list	5444	rule/adblock/AdBlock.list | rule/microsoft/Microsoft.list
2	DOMAIN-SUFFIX,msads.net	rule/microsoft/Microsoft.list	482	rule/adblock/AdBlock.list | rule/microsoft/Microsoft.list
2	DOMAIN-SUFFIX,msftconnecttest.com	rule/domestic/Special.list	28	rule/domestic/Special.list | rule/microsoft/Microsoft.list
2	DOMAIN-SUFFIX,msftconnecttest.com	rule/microsoft/Microsoft.list	495	rule/domestic/Special.list | rule/microsoft/Microsoft.list
2	DOMAIN-SUFFIX,music.apple.com	rule/apple/Apple Music.list	4	rule/apple/Apple Music.list | rule/apple/apple_domain.list
2	DOMAIN-SUFFIX,music.apple.com	rule/apple/apple_domain.list	95	rule/apple/Apple Music.list | rule/apple/apple_domain.list
2	DOMAIN-SUFFIX,nicovideo.jp	rule/Proxy/Proxy.list	340	rule/Proxy/Proxy.list | rule/media/Niconico.list
2	DOMAIN-SUFFIX,nicovideo.jp	rule/media/Niconico.list	3	rule/Proxy/Proxy.list | rule/media/Niconico.list
2	DOMAIN-SUFFIX,nimg.jp	rule/Proxy/Proxy.list	342	rule/Proxy/Proxy.list | rule/media/Niconico.list
2	DOMAIN-SUFFIX,nimg.jp	rule/media/Niconico.list	8	rule/Proxy/Proxy.list | rule/media/Niconico.list
2	DOMAIN-SUFFIX,notion.so	rule/Proxy/Proxy.list	346	rule/Proxy/Proxy.list | rule/ai/Notion.list
2	DOMAIN-SUFFIX,notion.so	rule/ai/Notion.list	13	rule/Proxy/Proxy.list | rule/ai/Notion.list
2	DOMAIN-SUFFIX,ourbits.club	rule/domestic/Domestic.list	218	rule/domestic/Domestic.list | rule/domestic/Special.list
2	DOMAIN-SUFFIX,ourbits.club	rule/domestic/Special.list	128	rule/domestic/Domestic.list | rule/domestic/Special.list
2	DOMAIN-SUFFIX,panoramio.com	rule/Proxy/Proxy.list	367	rule/Proxy/Proxy.list | rule/adblock/AdBlock.list
2	DOMAIN-SUFFIX,panoramio.com	rule/adblock/AdBlock.list	5781	rule/Proxy/Proxy.list | rule/adblock/AdBlock.list
2	DOMAIN-SUFFIX,passthepopcorn.me	rule/domestic/Domestic.list	220	rule/domestic/Domestic.list | rule/domestic/Special.list
2	DOMAIN-SUFFIX,passthepopcorn.me	rule/domestic/Special.list	129	rule/domestic/Domestic.list | rule/domestic/Special.list
2	DOMAIN-SUFFIX,privatehd.to	rule/domestic/Domestic.list	223	rule/domestic/Domestic.list | rule/domestic/Special.list
2	DOMAIN-SUFFIX,privatehd.to	rule/domestic/Special.list	130	rule/domestic/Domestic.list | rule/domestic/Special.list
2	DOMAIN-SUFFIX,proactivebackend-pa.googleapis.com	rule/ai/gemini.list	17	rule/ai/gemini.list | rule/google/gemini.list
2	DOMAIN-SUFFIX,proactivebackend-pa.googleapis.com	rule/google/gemini.list	17	rule/ai/gemini.list | rule/google/gemini.list
2	DOMAIN-SUFFIX,pubnub.com	rule/Proxy/Proxy.list	685	rule/Proxy/Proxy.list | rule/adblock/AdBlock.list
2	DOMAIN-SUFFIX,pubnub.com	rule/adblock/AdBlock.list	6025	rule/Proxy/Proxy.list | rule/adblock/AdBlock.list
2	DOMAIN-SUFFIX,redacted.ch	rule/domestic/Domestic.list	241	rule/domestic/Domestic.list | rule/domestic/Special.list
2	DOMAIN-SUFFIX,redacted.ch	rule/domestic/Special.list	131	rule/domestic/Domestic.list | rule/domestic/Special.list
2	DOMAIN-SUFFIX,scdn.co	rule/Proxy/Proxy.list	686	rule/Proxy/Proxy.list | rule/media/Spotify.list
2	DOMAIN-SUFFIX,scdn.co	rule/media/Spotify.list	5	rule/Proxy/Proxy.list | rule/media/Spotify.list
2	DOMAIN-SUFFIX,sfx.ms	rule/Proxy/Proxy.list	416	rule/Proxy/Proxy.list | rule/microsoft/Microsoft.list
2	DOMAIN-SUFFIX,sfx.ms	rule/microsoft/Microsoft.list	546	rule/Proxy/Proxy.list | rule/microsoft/Microsoft.list
2	DOMAIN-SUFFIX,sndcdn.com	rule/Proxy/Proxy.list	433	rule/Proxy/Proxy.list | rule/media/Soundcloud.list
2	DOMAIN-SUFFIX,sndcdn.com	rule/media/Soundcloud.list	4	rule/Proxy/Proxy.list | rule/media/Soundcloud.list
2	DOMAIN-SUFFIX,soku.com	rule/domestic/Domestic.list	255	rule/domestic/Domestic.list | rule/media/Youku.list
2	DOMAIN-SUFFIX,soku.com	rule/media/Youku.list	2	rule/domestic/Domestic.list | rule/media/Youku.list
2	DOMAIN-SUFFIX,soundcloud.com	rule/Proxy/Proxy.list	435	rule/Proxy/Proxy.list | rule/media/Soundcloud.list
2	DOMAIN-SUFFIX,soundcloud.com	rule/media/Soundcloud.list	6	rule/Proxy/Proxy.list | rule/media/Soundcloud.list
